timestamp	phase	hpa	currentReplicas	desiredReplicas	currentCpu	targetCpu
2026-09-02T12:16:51Z	baseline	api-gateway	1	1	8	50
2026-09-02T12:16:51Z	baseline	engagement-platform-service	1	1	2	50
2026-09-02T12:16:51Z	baseline	identity-asset-service	1	1	2	50
2026-09-02T12:16:51Z	baseline	merchant-catalog-service	1	1	4	50
2026-09-02T12:16:51Z	baseline	trade-fulfillment-service	1	1	2	50
2026-09-02T12:16:55Z	load	api-gateway	1	1	8	50
2026-09-02T12:16:55Z	load	engagement-platform-service	1	1	2	50
2026-09-02T12:16:55Z	load	identity-asset-service	1	1	2	50
2026-09-02T12:16:55Z	load	merchant-catalog-service	1	1	4	50
2026-09-02T12:16:55Z	load	trade-fulfillment-service	1	1	2	50
2026-09-02T12:17:06Z	load	api-gateway	1	1	32	50
2026-09-02T12:17:06Z	load	engagement-platform-service	1	1	4	50
2026-09-02T12:17:06Z	load	identity-asset-service	1	1	2	50
2026-09-02T12:17:06Z	load	merchant-catalog-service	1	1	2	50
2026-09-02T12:17:06Z	load	trade-fulfillment-service	1	1	2	50
2026-09-02T12:17:17Z	load	api-gateway	1	1	6	50
2026-09-02T12:17:17Z	load	engagement-platform-service	1	1	2	50
2026-09-02T12:17:17Z	load	identity-asset-service	1	1	2	50
2026-09-02T12:17:17Z	load	merchant-catalog-service	1	3	489	50
2026-09-02T12:17:17Z	load	trade-fulfillment-service	1	1	2	50
2026-09-02T12:17:29Z	load	api-gateway	1	1	6	50
2026-09-02T12:17:29Z	load	engagement-platform-service	1	1	2	50
2026-09-02T12:17:29Z	load	identity-asset-service	1	3	736	50
2026-09-02T12:17:29Z	load	merchant-catalog-service	1	3	489	50
2026-09-02T12:17:29Z	load	trade-fulfillment-service	1	1	36	50
2026-09-02T12:17:40Z	load	api-gateway	1	3	626	50
2026-09-02T12:17:40Z	load	engagement-platform-service	1	3	334	50
2026-09-02T12:17:40Z	load	identity-asset-service	3	4	864	50
2026-09-02T12:17:40Z	load	merchant-catalog-service	3	4	489	50
2026-09-02T12:17:40Z	load	trade-fulfillment-service	1	3	418	50
2026-09-02T12:17:50Z	load	api-gateway	3	4	322	50
2026-09-02T12:17:50Z	load	engagement-platform-service	3	4	284	50
2026-09-02T12:17:50Z	load	identity-asset-service	4	4	438	50
2026-09-02T12:17:50Z	load	merchant-catalog-service	4	4	625	50
2026-09-02T12:17:50Z	load	trade-fulfillment-service	3	4	308	50
2026-09-02T12:18:02Z	load	api-gateway	4	4	144	50
2026-09-02T12:18:02Z	load	engagement-platform-service	3	4	284	50
2026-09-02T12:18:02Z	load	identity-asset-service	4	4	438	50
2026-09-02T12:18:02Z	load	merchant-catalog-service	4	4	625	50
2026-09-02T12:18:02Z	load	trade-fulfillment-service	3	4	308	50
2026-09-02T12:18:13Z	load	api-gateway	4	4	144	50
2026-09-02T12:18:13Z	load	engagement-platform-service	4	4	88	50
2026-09-02T12:18:13Z	load	identity-asset-service	4	4	261	50
2026-09-02T12:18:13Z	load	merchant-catalog-service	4	4	625	50
2026-09-02T12:18:13Z	load	trade-fulfillment-service	4	4	110	50
2026-09-02T12:18:24Z	load	api-gateway	4	4	140	50
2026-09-02T12:18:24Z	load	engagement-platform-service	4	4	88	50
2026-09-02T12:18:24Z	load	identity-asset-service	4	4	177	50
2026-09-02T12:18:24Z	load	merchant-catalog-service	4	4	194	50
2026-09-02T12:18:24Z	load	trade-fulfillment-service	4	4	82	50
2026-09-02T12:18:35Z	load	api-gateway	4	4	130	50
2026-09-02T12:18:35Z	load	engagement-platform-service	4	4	48	50
2026-09-02T12:18:35Z	load	identity-asset-service	4	4	213	50
2026-09-02T12:18:35Z	load	merchant-catalog-service	4	4	180	50
2026-09-02T12:18:35Z	load	trade-fulfillment-service	4	4	86	50
2026-09-02T12:18:46Z	load	api-gateway	4	4	130	50
2026-09-02T12:18:46Z	load	engagement-platform-service	4	4	48	50
2026-09-02T12:18:46Z	load	identity-asset-service	4	4	213	50
2026-09-02T12:18:46Z	load	merchant-catalog-service	4	4	180	50
2026-09-02T12:18:46Z	load	trade-fulfillment-service	4	4	86	50
2026-09-02T12:18:57Z	load	api-gateway	4	4	112	50
2026-09-02T12:18:57Z	load	engagement-platform-service	4	4	46	50
2026-09-02T12:18:57Z	load	identity-asset-service	4	4	213	50
2026-09-02T12:18:57Z	load	merchant-catalog-service	4	4	219	50
2026-09-02T12:18:57Z	load	trade-fulfillment-service	4	4	101	50
2026-09-02T12:19:08Z	load	api-gateway	4	4	94	50
2026-09-02T12:19:08Z	load	engagement-platform-service	4	4	36	50
2026-09-02T12:19:08Z	load	identity-asset-service	4	4	251	50
2026-09-02T12:19:08Z	load	merchant-catalog-service	4	4	142	50
2026-09-02T12:19:08Z	load	trade-fulfillment-service	4	4	36	50
2026-09-02T12:19:19Z	load	api-gateway	4	4	182	50
2026-09-02T12:19:19Z	load	engagement-platform-service	4	4	62	50
2026-09-02T12:19:19Z	load	identity-asset-service	4	4	229	50
2026-09-02T12:19:19Z	load	merchant-catalog-service	4	4	184	50
2026-09-02T12:19:19Z	load	trade-fulfillment-service	4	4	36	50
2026-09-02T12:19:30Z	load	api-gateway	4	4	182	50
2026-09-02T12:19:30Z	load	engagement-platform-service	4	4	62	50
2026-09-02T12:19:30Z	load	identity-asset-service	4	4	229	50
2026-09-02T12:19:30Z	load	merchant-catalog-service	4	4	184	50
2026-09-02T12:19:30Z	load	trade-fulfillment-service	4	4	74	50
2026-09-02T12:19:41Z	load	api-gateway	4	4	125	50
2026-09-02T12:19:41Z	load	engagement-platform-service	4	4	224	50
2026-09-02T12:19:41Z	load	identity-asset-service	4	4	263	50
2026-09-02T12:19:41Z	load	merchant-catalog-service	4	4	204	50
2026-09-02T12:19:41Z	load	trade-fulfillment-service	4	4	246	50
2026-09-02T12:19:52Z	load	api-gateway	4	4	103	50
2026-09-02T12:19:52Z	load	engagement-platform-service	4	4	220	50
2026-09-02T12:19:52Z	load	identity-asset-service	4	4	349	50
2026-09-02T12:19:52Z	load	merchant-catalog-service	4	4	179	50
2026-09-02T12:19:52Z	load	trade-fulfillment-service	4	4	284	50
2026-09-02T12:20:03Z	load	api-gateway	4	4	91	50
2026-09-02T12:20:03Z	load	engagement-platform-service	4	4	128	50
2026-09-02T12:20:03Z	load	identity-asset-service	4	4	313	50
2026-09-02T12:20:03Z	load	merchant-catalog-service	4	4	239	50
2026-09-02T12:20:03Z	load	trade-fulfillment-service	4	4	284	50
2026-09-02T12:20:04Z	load-finished	api-gateway	4	4	91	50
2026-09-02T12:20:04Z	load-finished	engagement-platform-service	4	4	128	50
2026-09-02T12:20:04Z	load-finished	identity-asset-service	4	4	313	50
2026-09-02T12:20:04Z	load-finished	merchant-catalog-service	4	4	239	50
2026-09-02T12:20:04Z	load-finished	trade-fulfillment-service	4	4	284	50
2026-09-02T12:20:05Z	cooldown	api-gateway	4	4	91	50
2026-09-02T12:20:05Z	cooldown	engagement-platform-service	4	4	128	50
2026-09-02T12:20:05Z	cooldown	identity-asset-service	4	4	313	50
2026-09-02T12:20:05Z	cooldown	merchant-catalog-service	4	4	239	50
2026-09-02T12:20:05Z	cooldown	trade-fulfillment-service	4	4	191	50
